city,location,region,bhk,total_sqft,property_type,availability,price
Mumbai,Kalpataru Kalpataru Elitus,Mulund West,3.0,1015.0,Apartment,Under Construction,245.00000000000003
Mumbai,Kalpataru Vivant South Wing B,Andheri East,3.0,1076.0,Apartment,Under Construction,319.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,2.0,718.0,Apartment,Under Construction,212.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,2.0,758.0,Apartment,Under Construction,224.00000000000003
Mumbai,Kalpataru Vivant South Wing B,Andheri East,3.0,991.0,Apartment,Under Construction,294.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,2.0,618.0,Apartment,Under Construction,182.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,3.0,1033.0,Apartment,Under Construction,306.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,3.0,913.0,Apartment,Under Construction,270.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,3.0,866.0,Apartment,Under Construction,257.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,2.0,562.0,Apartment,Under Construction,170.0
Mumbai,Kalpataru Vivant South Wing B,Andheri East,3.0,948.0,Apartment,Under Construction,281.0
Mumbai,Kalpataru Srishti Namaah,Mira Road East,3.0,894.0,Apartment,Under Construction,186.0
Mumbai,Kalpataru Srishti Namaah,Mira Road East,2.0,668.0,Apartment,Under Construction,135.0
Mumbai,Vrindavan Nagari,Boisar,1.0,555.0,Apartment,Ready to move,15.5
Mumbai,DB Ozone,Dahisar,1.0,729.0,Apartment,Ready to move,51.0
Mumbai,Lodha Aqua,Mira Road East,2.0,1020.0,Apartment,Ready to move,110.0
Mumbai,Lodha Aqua,Mira Road East,2.0,1035.0,Apartment,Ready to move,115.0
Mumbai,Man Opus,Mira Road East,2.0,1070.0,Apartment,Ready to move,89.0
Mumbai,Man Opus,Mira Road East,2.0,1070.0,Apartment,Ready to move,93.0
Mumbai,Man Opus,Mira Road East,2.0,1050.0,Apartment,Ready to move,83.0
Mumbai,Man Opus,Mira Road East,2.0,1050.0,Apartment,Ready to move,80.0
Mumbai,Lodha Aqua,Mira Road East,2.0,1021.0,Apartment,Ready to move,111.0
Mumbai,DB Ozone,Dahisar,2.0,1045.0,Apartment,Ready to move,79.0
Mumbai,DB Ozone,Dahisar,2.0,1039.0,Apartment,Ready to move,80.0
Mumbai,Lodha Aqua,Mira Road East,2.0,1080.0,Apartment,Ready to move,114.0
Mumbai,Man Opus,Mira Road East,2.0,750.0,Apartment,Ready to move,73.0
Mumbai,Man Opus,Mira Road East,1.0,650.0,Apartment,Ready to move,62.0
Mumbai,Man Opus,Mira Road East,2.0,1050.0,Apartment,Ready to move,79.0
Mumbai,Man Opus,Mira Road East,2.0,1020.0,Apartment,Ready to move,85.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,785.0,Apartment,Ready to move,93.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,765.0,Apartment,Ready to move,91.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,1.0,850.0,Apartment,Ready to move,115.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,850.0,Apartment,Ready to move,111.0
Mumbai,Man Opus,Mira Road East,1.0,620.0,Apartment,Ready to move,60.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,856.0,Apartment,Ready to move,118.0
Mumbai,Man Opus,Mira Road East,2.0,750.0,Apartment,Ready to move,70.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,768.0,Apartment,Ready to move,90.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,856.0,Apartment,Ready to move,119.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,1.0,756.0,Apartment,Ready to move,73.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,850.0,Apartment,Ready to move,105.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,1.0,675.0,Apartment,Ready to move,74.0
Mumbai,Lakshadeep Residency,Karanjade,1.0,600.0,Apartment,Ready to move,33.6
Mumbai,Reputed Builder Vrindavan Society,Thane West,1.0,520.0,Apartment,Ready to move,21.5
Mumbai,Shree Karma Heights,Vasai,1.0,685.0,Apartment,Under Construction,36.37
Mumbai,Man Opus,Mira Road East,2.0,870.0,Apartment,Ready to move,95.0
Mumbai,Lodha Aqua,Mira Road East,3.0,1665.0,Apartment,Ready to move,199.0
Mumbai,Man Opus,Mira Road East,2.0,1050.0,Apartment,Ready to move,90.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,1.0,756.0,Apartment,Ready to move,77.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,1.0,785.0,Apartment,Ready to move,76.0
Mumbai,Fia Orion,Palghar,2.0,860.0,Apartment,Ready to move,38.7
Mumbai,Adhiraj Gardens,Kharghar,1.0,600.0,Apartment,Ready to move,30.0
Mumbai,Haware Nakshatra,Palghar,1.0,380.0,Studio Apartment,Ready to move,14.0
Mumbai,Braj City,Mahim,1.0,600.0,Apartment,Under Construction,18.0
Mumbai,Alag Olive,Ghatkopar East,2.0,581.0,Apartment,Under Construction,125.0
Mumbai,Lodha Aqua,Mira Road East,2.0,810.0,Apartment,Ready to move,118.0
Mumbai,Lodha Aqua,Mira Road East,3.0,1200.0,Apartment,Ready to move,185.0
Mumbai,Man Opus,Mira Road East,2.0,856.0,Apartment,Ready to move,79.0
Mumbai,Man Opus,Mira Road East,2.0,856.0,Apartment,Ready to move,80.0
Mumbai,DB Ozone,Dahisar,1.0,629.0,Apartment,Ready to move,55.0
Mumbai,DB Ozone,Dahisar,1.0,620.0,Apartment,Ready to move,56.0
Mumbai,DB Ozone,Dahisar,2.0,850.0,Apartment,Ready to move,78.0
Mumbai,DB Ozone,Dahisar,2.0,850.0,Apartment,Ready to move,79.0
Mumbai,Lodha Aqua,Mira Road East,2.0,1350.0,Apartment,Ready to move,215.0
Mumbai,Man Opus,Mira Road East,2.0,1070.0,Apartment,Ready to move,95.0
Mumbai,Lodha Mira Road Project 1,Mira Road East,2.0,789.0,Apartment,Ready to move,98.0
Mumbai,Man Opus,Mira Road East,1.0,659.0,Apartment,Ready to move,59.0
Mumbai,Man Opus,Mira Road East,1.0,656.0,Apartment,Ready to move,61.0
Mumbai,Man Opus,Mira Road East,2.0,850.0,Apartment,Ready to move,78.0
Mumbai,Lodha Aqua,Mira Road East,2.0,825.0,Apartment,Ready to move,110.0
Mumbai,Swastik Sarvoday Symphony,Dombivali,1.0,650.0,Apartment,Under Construction,45.5
Mumbai,Arihant Advika,Vashi,3.0,1555.0,Apartment,Under Construction,256.0
Mumbai,Arihant Clan Aalishan Phase 1,Kharghar,2.0,1125.0,Apartment,Under Construction,100.0
Mumbai,Sheth Auris Serenity Tower 2,Malad West,2.0,1233.0,Apartment,Ready to move,275.0
Mumbai,K Merchant Sai Ekvira Sadan,Girgaon,2.0,415.0,Studio Apartment,Ready to move,95.0
Mumbai,Reputed Builder Nutan Gangotri,Andheri West,2.0,430.0,Apartment,Ready to move,125.0
